rec;send;queue;id_1;id_2;my_id
1587121227762;1587121227367;3;0;4;286
1587121227805;1587121227780;4;0;2;329
1587121228060;1587121227780;6;0;5;321
1587121228163;1587121227780;3;0;4;287
1587121228202;1587121228179;4;0;2;330
1587121228444;1587121228179;6;0;5;322
1587121228528;1587121228178;3;0;4;288
1587121228572;1587121228544;4;0;2;331
1587121228835;1587121228545;6;0;5;323
1587121228947;1587121228545;3;0;4;289
1587121228987;1587121228958;4;0;2;332
1587121229213;1587121228957;6;0;5;324
1587121229345;1587121228957;3;0;4;290
1587121229394;1587121229356;4;0;2;333
1587121229568;1587121229356;6;0;5;325
1587121229662;1587121229357;3;0;4;291
1587121229756;1587121229647;4;0;2;334
1587121230001;1587121229646;6;0;5;326
1587121230127;1587121230083;4;0;2;335
1587121230372;1587121230084;6;0;5;327
1587121230477;1587121230083;3;0;4;292
1587121230518;1587121230451;4;0;2;336
1587121230769;1587121230450;6;0;5;328
1587121230901;1587121230870;3;0;4;293
1587121230941;1587121230870;4;0;2;337
1587121231232;1587121230870;6;0;5;329
1587121231338;1587121231304;3;0;4;294
1587121231376;1587121231308;4;0;2;338
1587121231635;1587121231304;6;0;5;330
1587121231767;1587121231724;3;0;4;295
1587121231808;1587121231723;4;0;2;339
1587121232044;1587121231725;6;0;5;331
1587121232150;1587121232112;3;0;4;296
1587121232190;1587121232112;4;0;2;340
